id;materia;pregunta;resultado;retroalimentacion
1;Islandia content payment;Pequeño Koruna;2870;cross-platform Técnico Metal
2;Berkshire;Home ADP moderador;98439;transmitter Ladrillo Investigación
3;Guapo hack;Nacional payment;10260;Guapo Canarias Gerente
4;Castilla Integrado;Facilitador connect;42515;reintermediate Oficial
5;Azul navigate desafío;RSS neural;36911;sensor
6;segura Negro deposit;up neural;61079;capa
7;Blanco drive;ábanico Rupee;56357;Hogar
8;Baht;Directo Granito;2120;Representante Loan Bedfordshire
9;Rojo División Pequeño;Savings toda;36798;cultivate
10;aplicación Electrónica Métricas;monitor Loan generate;353;Decoración Hogar
