id;estado;materia;numero_estudiantes;resultados;retroalimentacion
1;INACTIVE;plug-and-play;9717;3354;móbil calculating
2;Active;deliver Decoración wireless;14714;32964;tiempo Dollar
3;INACTIVE;Marino;39311;90365;connecting empower Acero
4;INACTIVE;neural Carretera;56571;28909;withdrawal
5;Active;Borders a holistic;62529;57176;Armenia
6;Active;deposit;6680;99920;Borders Electrónica
7;Active;CSS;76574;18767;SCSI
8;Active;Hormigon Programa Música;51503;29851;RAM Compatible Azul
9;Active;Avon;1452;16401;FTP
10;Active;indexing Blanco;95280;69730;extend sistemática
